# The text every study page drew before the families migrated
#
# Recorded from commit a0c8900 - the atlas as 1.11.0 shipped it, with
# each family placing its own labels - by a dump of the three passes'
# own decisions: the star pass's placements, the deep-sky labels at
# their published bounds, and the constellation names on their
# anchors. It is frozen evidence and no target regenerates it: the
# code that produced it is not checked out any more.
#
# One line per drawn label: page, family, catalogue id, box x, y,
# width, height, and the text. Boxes are measured text, so this is a
# fact about the machine that recorded it (macOS 15.5, aarch64,
# Homebrew OpenJDK 21) as well as about the atlas.
#
# juranometria.tool.labels.LabelStudyMain reads it to report what the
# migration changed, page by page.
home	star	TYC 2801-2090-1	304.56	363.30	10.00	14.00	ν
home	deep sky	NGC 205	511.94	296.54	37.00	14.00	M 110
home	deep sky	NGC 221	458.54	388.82	30.00	14.00	M 32
home	deep sky	NGC 224	562.39	343.47	30.00	14.00	M 31
orion-08	star	TYC 4766-2450-1	337.20	478.54	52.00	14.00	Alnilam ε
orion-08	star	TYC 4771-1188-1	209.39	561.93	51.00	14.00	Alnitak ζ
orion-08	star	TYC 4766-2445-1	455.06	377.09	54.00	14.00	Mintaka δ
orion-08	star	TYC 4757-1588-1	666.07	613.04	82.00	14.00	Saif al Jabbar η
orion-08	star	TYC 105-2801-1	599.29	-4.62	13.00	14.00	ψ
orion-08	star	TYC 4752-1608-1	741.90	386.50	11.00	14.00	o
orion-08	star	TYC 4753-1894-1	517.90	466.20	18.00	14.00	31
orion-08	star	TYC 101-2568-1	657.89	135.94	18.00	14.00	25
orion-08	star	TYC 115-2299-1	159.75	177.66	11.00	14.00	b
orion-08	deep sky	NGC 1976	417.20	950.71	30.00	14.00	M 42
orion-08	deep sky	NGC 1982	368.11	936.87	30.00	14.00	M 43
orion-08	deep sky	NGC 2068	42.08	334.57	30.00	14.00	M 78
orion-18	star	TYC 113-1856-1	540.73	27.19	56.00	14.00	Bellatrix γ
orion-18	star	TYC 4766-2450-1	403.28	403.12	52.00	14.00	Alnilam ε
orion-18	star	TYC 4771-1188-1	346.82	439.94	51.00	14.00	Alnitak ζ
orion-18	star	TYC 4766-2445-1	455.16	358.33	54.00	14.00	Mintaka δ
orion-18	star	TYC 4778-1401-1	412.54	637.64	47.00	14.00	Hatysa ι
orion-18	star	TYC 4759-1671-1	755.59	597.79	46.00	14.00	Cursa β
orion-18	star	TYC 4764-1639-1	633.43	685.20	10.00	14.00	τ
orion-18	star	TYC 4757-1588-1	548.05	462.50	11.00	14.00	η
orion-18	star	TYC 4771-1196-1	371.01	472.58	11.00	14.00	σ
orion-18	star	TYC 85-2362-1	872.02	257.57	18.00	14.00	π⁶
orion-18	star	TYC 103-2863-1	686.79	201.02	11.00	14.00	ρ
orion-18	deep sky	NGC 1976	437.20	611.58	30.00	14.00	M 42
orion-18	deep sky	NGC 1982	415.52	605.47	30.00	14.00	M 43
orion-18	deep sky	NGC 2068	271.58	339.56	30.00	14.00	M 78
orion-18	constellation	Eri	801.71	566.44	62.00	15.00	ERIDANUS
orion-18	constellation	Ori	400.27	288.59	42.00	15.00	ORION
orion-36	star	TYC 5331-1752-1	561.73	543.70	40.00	14.00	Rigel β
orion-36	star	TYC 129-1873-1	315.45	162.53	72.00	14.00	Betelgeuse α
orion-36	star	TYC 113-1856-1	497.07	189.31	56.00	14.00	Bellatrix γ
orion-36	star	TYC 4766-2450-1	430.06	372.56	52.00	14.00	Alnilam ε
orion-36	star	TYC 4771-1188-1	402.50	390.51	51.00	14.00	Alnitak ζ
orion-36	star	TYC 5351-760-1	360.02	580.04	42.00	14.00	Saiph κ
orion-36	star	TYC 4766-2445-1	455.20	350.73	54.00	14.00	Mintaka δ
orion-36	star	TYC 4778-1401-1	434.36	486.88	8.00	14.00	ι
orion-36	star	TYC 4759-1671-1	601.58	467.46	11.00	14.00	β
orion-36	star	TYC 96-1462-1	712.61	171.50	18.00	14.00	π³
orion-36	deep sky	NGC 1976	445.30	474.18	30.00	14.00	M 42
orion-36	deep sky	NGC 1982	434.73	471.20	30.00	14.00	M 43
