# Reference vectors for the sky-orientation model
#
# Provenance
#   Computed with IAU SOFA, release 2023-10-11, ANSI C:
#     https://www.iausofa.org/2023-10-11c
#     https://www.iausofa.org/s/sofa_c-20231011tar.gz
#     sha256 d9c10833cae8b4d9361a0ffda31ec361fd1262362025bec4d4e51a880150ace2
#   Generated by scripts/reference-vectors.c in this repository, which
#   calls the unmodified library. Re-run it to reproduce this file.
#
# Statement required by the SOFA licence
#   This file and the program that produced it use routines and
#   computations derived by the JUranometria authors from software
#   provided by SOFA under licence. They do not themselves constitute
#   software provided by, or endorsed by, SOFA. No SOFA source is
#   vendored into this repository, and there is no dependency on SOFA at run time
#   or at build time: these are numbers, checked into a test fixture.
#
# What the columns are
#   The rotation from the true equator and equinox of date into
#   ICRS/J2000 - pmat76 then nut80/numat, transposed - applied to a
#   direction given in the frame of date. UTC is passed where SOFA
#   expects TT and UT1, which is what the model under test does, so
#   the comparison isolates the rotation from the time scales.
#
# utc ra_of_date dec_of_date ra_j2000 dec_j2000 gmst_deg
2000-01-01T12:00:00Z 0.000000 0.000000 0.003548460 0.001538446 280.460618375
2000-01-01T12:00:00Z 0.000000 90.000000 226.194833959 89.997777625 280.460618375
2000-01-01T12:00:00Z 0.000000 -90.000000 46.194833959 -89.997777625 280.460618375
2000-01-01T12:00:00Z 180.000000 0.000000 180.003548460 -0.001538446 280.460618375
2000-01-01T12:00:00Z 359.900000 -0.100000 359.903551264 -0.098464356 280.460618375
2000-01-01T12:00:00Z 83.822083 -5.391111 83.825503449 -5.389350963 280.460618375
2000-01-01T12:00:00Z 10.684708 41.268750 10.687123727 41.270559109 280.460618375
2000-01-01T12:00:00Z 266.404996 -28.936172 266.409337781 -28.937869088 280.460618375
2000-01-01T12:00:00Z 90.000000 66.560000 90.007097072 66.561603740 280.460618375
2000-01-01T12:00:00Z 270.000000 -66.560000 270.007097072 -66.561603740 280.460618375
1975-11-30T23:59:00Z 0.000000 0.000000 0.305434758 0.132743838 68.977251515
1975-11-30T23:59:00Z 0.000000 90.000000 180.897378541 89.867249077 68.977251515
1975-11-30T23:59:00Z 0.000000 -90.000000 0.897378541 -89.867249077 68.977251515
1975-11-30T23:59:00Z 180.000000 0.000000 180.305434758 -0.132743838 68.977251515
1975-11-30T23:59:00Z 359.900000 -0.100000 0.205437288 0.032741242 68.977251515
1975-11-30T23:59:00Z 83.822083 -5.391111 84.115097151 -5.375447812 68.977251515
1975-11-30T23:59:00Z 10.684708 41.268750 11.010627011 41.399442487 68.977251515
1975-11-30T23:59:00Z 266.404996 -28.936172 266.783646248 -28.945779689 68.977251515
1975-11-30T23:59:00Z 90.000000 66.560000 90.611617955 66.561016787 68.977251515
1975-11-30T23:59:00Z 270.000000 -66.560000 270.611617955 -66.561016787 68.977251515
1987-04-10T00:00:00Z 0.000000 0.000000 0.164055358 0.071293022 197.693195113
1987-04-10T00:00:00Z 0.000000 90.000000 177.975151988 89.928654920 197.693195113
1987-04-10T00:00:00Z 0.000000 -90.000000 357.975151988 -89.928654920 197.693195113
1987-04-10T00:00:00Z 180.000000 0.000000 180.164055358 -0.071293022 197.693195113
1987-04-10T00:00:00Z 359.900000 -0.100000 0.064050742 -0.028702330 197.693195113
1987-04-10T00:00:00Z 83.822083 -5.391111 83.979423184 -5.386143693 197.693195113
1987-04-10T00:00:00Z 10.684708 41.268750 10.862735619 41.338299807 197.693195113
1987-04-10T00:00:00Z 266.404996 -28.936172 266.608482913 -28.937898168 197.693195113
1987-04-10T00:00:00Z 90.000000 66.560000 90.328466842 66.557172738 197.693195113
1987-04-10T00:00:00Z 270.000000 -66.560000 270.328466842 -66.557172738 197.693195113
2026-03-20T21:33:00Z 0.000000 0.000000 359.662508239 -0.146632769 141.676382754
2026-03-20T21:33:00Z 0.000000 90.000000 0.820624600 89.853337271 141.676382754
2026-03-20T21:33:00Z 0.000000 -90.000000 180.820624600 -89.853337271 141.676382754
2026-03-20T21:33:00Z 180.000000 0.000000 179.662508239 0.146632769 141.676382754
2026-03-20T21:33:00Z 359.900000 -0.100000 359.562502291 -0.246627372 141.676382754
2026-03-20T21:33:00Z 83.822083 -5.391111 83.498346671 -5.409820671 141.676382754
2026-03-20T21:33:00Z 10.684708 41.268750 10.325996323 41.124105416 141.676382754
2026-03-20T21:33:00Z 266.404996 -28.936172 265.986728964 -28.923916134 141.676382754
2026-03-20T21:33:00Z 90.000000 66.560000 89.324360117 66.556603020 141.676382754
2026-03-20T21:33:00Z 270.000000 -66.560000 269.324360117 -66.556603020 141.676382754
2026-06-21T08:24:00Z 0.000000 0.000000 359.658852834 -0.148220347 35.551535739
2026-06-21T08:24:00Z 0.000000 90.000000 0.656611629 89.851757176 35.551535739
2026-06-21T08:24:00Z 0.000000 -90.000000 180.656611629 -89.851757176 35.551535739
2026-06-21T08:24:00Z 180.000000 0.000000 179.658852834 0.148220347 35.551535739
2026-06-21T08:24:00Z 359.900000 -0.100000 359.558847542 -0.248215616 35.551535739
